timezone,crop_name,project_name,variety,sensor_id,sensor_type,date,mds,growth,minimum,maximum
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-10,5.0,35.0,2555.0,2590.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-11,0.0,40.0,2590.0,2630.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-12,0.0,45.0,2630.0,2675.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-13,0.0,40.0,2670.0,2715.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-14,5.0,40.0,2710.0,2755.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-15,5.0,45.0,2755.0,2800.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-16,0.0,50.0,2800.0,2850.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-17,0.0,45.0,2850.0,2895.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-18,10.0,55.0,2895.0,2950.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-19,10.0,55.0,2950.0,3005.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-20,5.0,60.0,3005.0,3065.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-21,5.0,75.0,3065.0,3140.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-22,10.0,65.0,3140.0,3205.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-23,10.0,70.0,3205.0,3275.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-24,15.0,80.0,3275.0,3355.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-25,20.0,80.0,3355.0,3435.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-26,10.0,75.0,3435.0,3510.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-27,15.0,65.0,3510.0,3575.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-28,15.0,70.0,3575.0,3645.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-29,5.0,70.0,3640.0,3715.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-06-30,20.0,85.0,3715.0,3800.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-01,15.0,90.0,3800.0,3890.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-02,15.0,70.0,3890.0,3960.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-03,10.0,85.0,3960.0,4045.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-04,15.0,65.0,4045.0,4110.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-05,15.0,80.0,4110.0,4190.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-06,25.0,55.0,4185.0,4245.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-07,20.0,50.0,4245.0,4295.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-08,25.0,45.0,4295.0,4345.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-09,15.0,35.0,4340.0,4375.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-10,20.0,35.0,4370.0,4410.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-11,25.0,25.0,4405.0,4435.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-12,20.0,30.0,4425.0,4465.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-13,25.0,35.0,4455.0,4500.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-14,20.0,40.0,4490.0,4540.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-15,25.0,50.0,4540.0,4590.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-16,20.0,25.0,4580.0,4615.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-17,20.0,35.0,4605.0,4650.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-18,20.0,35.0,4645.0,4685.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-19,15.0,45.0,4685.0,4730.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-20,20.0,30.0,4730.0,4760.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-21,15.0,45.0,4755.0,4805.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-22,25.0,45.0,4800.0,4850.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-23,20.0,55.0,4850.0,4905.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-24,25.0,30.0,4900.0,4935.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-25,15.0,70.0,4935.0,5005.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2023-07-26,20.0,55.0,5005.0,5065.0
