timezone,crop_name,project_name,variety,sensor_id,sensor_type,date,mds,growth,minimum,maximum
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-01,45.0,0.0,6120.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-02,25.0,-10.0,6135.0,6160.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-03,40.0,0.0,6115.0,6155.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-04,50.0,0.0,6115.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-05,40.0,-10.0,6115.0,6155.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-06,35.0,10.0,6115.0,6155.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-07,55.0,5.0,6100.0,6155.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-08,50.0,0.0,6115.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-09,45.0,15.0,6120.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-10,55.0,-10.0,6115.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-11,55.0,0.0,6115.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-12,45.0,-15.0,6120.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-13,35.0,10.0,6120.0,6155.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-14,20.0,5.0,6135.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-15,50.0,5.0,6120.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-16,25.0,-5.0,6140.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-17,35.0,0.0,6130.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-18,20.0,10.0,6145.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-19,35.0,-5.0,6135.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-20,35.0,5.0,6130.0,6170.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-21,50.0,0.0,6125.0,6175.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-22,60.0,5.0,6125.0,6185.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-23,40.0,-15.0,6140.0,6180.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-24,40.0,5.0,6120.0,6165.0
Asia/Jerusalem,Mandarin,Control,Ora,739942,Dend,2024-02-25,45.0,5.0,6125.0,6175.0
